cae --md5 basic
dma resource write: 0x140c0890, 0x0
dma resource write: 0x140c0894, 0x0
dma resource write: 0x140c08a0, 0x0
dma resource write: 0x140c08a4, 0x0
dma resource write: 0x140c08a8, 0x0
dma resource write: 0x140c08ac, 0x0
dma resource write: 0x140c08b0, 0x0
dma resource write: 0x140c08b4, 0x0
dma resource write: 0x140c08c0, 0x0
dma resource write: 0x140c08c4, 0x0
dma resource write: 0x140c08c8, 0x0
dma resource write: 0x140c08cc, 0x0
dma resource write: 0x140c08d0, 0x0
dma resource write: 0x140c08d4, 0x0
dma resource write: 0x140c08e0, 0x0
dma resource write: 0x140c08e4, 0x0
dma resource write: 0x140c08e8, 0x0
dma resource write: 0x140c08ec, 0x0
dma resource write: 0x140c08f0, 0x0
dma resource write: 0x140c08f4, 0x0
dma resource write: 0x140c0900, 0x0
dma resource write: 0x140c0904, 0x0
dma resource write: 0x140c0908, 0x0
dma resource write: 0x140c090c, 0x0
dma resource write: 0x140c0910, 0x0
dma resource write: 0x140c0914, 0x0
dma resource write: 0x140c0920, 0x0
dma resource write: 0x140c0924, 0x0
dma resource write: 0x140c0928, 0x0
dma resource write: 0x140c092c, 0x0
dma resource write: 0x140c0930, 0x0
dma resource write: 0x140c0934, 0x0
dma resource write: 0x140c0940, 0x0
dma resource write: 0x140c0944, 0x0
dma resource write: 0x140c0948, 0x0
dma resource write: 0x140c094c, 0x0
dma resource write: 0x140c0950, 0x0
dma resource write: 0x140c0954, 0x0
dma resource write: 0x140c0960, 0x0
dma resource write: 0x140c0964, 0x0
dma resource write: 0x140c0968, 0x0
dma resource write: 0x140c096c, 0x0
dma resource write: 0x140c0970, 0x0
dma resource write: 0x140c0974, 0x0
dma resource write: 0x140c0980, 0x0
dma resource write: 0x140c0984, 0x0
dma resource write: 0x140c0988, 0x0
dma resource write: 0x140c098c, 0x0
dma resource write: 0x140c0990, 0x0
dma resource write: 0x140c0994, 0x0
dma resource write: 0x140c09a0, 0x0
dma resource write: 0x140c09a4, 0x0
dma resource write: 0x140c09a8, 0x0
dma resource write: 0x140c09ac, 0x0
dma resource write: 0x140c09b0, 0x0
dma resource write: 0x140c09b4, 0x0
dma resource write: 0x140c09c0, 0x0
dma resource write: 0x140c09c4, 0x0
dma resource write: 0x140c09c8, 0x0
dma resource write: 0x140c09cc, 0x0
dma resource write: 0x140c09d0, 0x0
dma resource write: 0x140c09d4, 0x0
dma resource write: 0x140c09e0, 0x0
dma resource write: 0x140c09e4, 0x0
dma resource write: 0x140c09e8, 0x0
dma resource write: 0x140c09ec, 0x0
dma resource write: 0x140c09f0, 0x0
dma resource write: 0x140c09f4, 0x0
dma resource write: 0x140c0a00, 0x0
dma resource write: 0x140c0a04, 0x0
dma resource write: 0x140c0a08, 0x0
dma resource write: 0x140c0a0c, 0x0
dma resource write: 0x140c0a10, 0x0
dma resource write: 0x140c0a14, 0x0
dma resource write: 0x140c0a20, 0x0
dma resource write: 0x140c0a24, 0x0
dma resource write: 0x140c0a28, 0x0
dma resource write: 0x140c0a2c, 0x0
dma resource write: 0x140c0a30, 0x0
dma resource write: 0x140c0a34, 0x0
dma resource write: 0x140c0a40, 0x0
dma resource write: 0x140c0a44, 0x0
dma resource write: 0x140c0a48, 0x0
dma resource write: 0x140c0a4c, 0x0
dma resource write: 0x140c0a50, 0x0
dma resource write: 0x140c0a54, 0x0
dma resource write: 0x140c0a60, 0x0
dma resource write: 0x140c0a64, 0x0
dma resource write: 0x140c0a68, 0x0
dma resource write: 0x140c0a6c, 0x0
dma resource write: 0x140c0a70, 0x0
dma resource write: 0x140c0a74, 0x0
dma resource write: 0x140c0a80, 0x0
dma resource write: 0x140c0a84, 0x0
dma resource write: 0x140c0a88, 0x0
dma resource write: 0x140c0a8c, 0x0
dma resource write: 0x140c0a90, 0x0
dma resource write: 0x140c0a94, 0x0
dma resource write: 0x140c0aa0, 0x0
dma resource write: 0x140c0aa4, 0x0
dma resource write: 0x140c0aa8, 0x0
dma resource write: 0x140c0aac, 0x0
dma resource write: 0x140c0ab0, 0x0
dma resource write: 0x140c0ab4, 0x0
dma resource write: 0x140c0ac0, 0x0
dma resource write: 0x140c0ac4, 0x0
dma resource write: 0x140c0ac8, 0x0
dma resource write: 0x140c0acc, 0x0
dma resource write: 0x140c0ad0, 0x0
dma resource write: 0x140c0ad4, 0x0
dma resource write: 0x140c0ae0, 0x0
dma resource write: 0x140c0ae4, 0x0
dma resource write: 0x140c0ae8, 0x0
dma resource write: 0x140c0aec, 0x0
dma resource write: 0x140c0af0, 0x0
dma resource write: 0x140c0af4, 0x0
dma resource write: 0x140c0b00, 0x0
dma resource write: 0x140c0b04, 0x0
dma resource write: 0x140c0b08, 0x0
dma resource write: 0x140c0b0c, 0x0
dma resource write: 0x140c0b10, 0x0
dma resource write: 0x140c0b14, 0x0
dma resource write: 0x140c0b20, 0x0
dma resource write: 0x140c0b24, 0x0
dma resource write: 0x140c0b28, 0x0
dma resource write: 0x140c0b2c, 0x0
dma resource write: 0x140c0b30, 0x0
dma resource write: 0x140c0b34, 0x0
dma resource write: 0x140c0b40, 0x0
dma resource write: 0x140c0b44, 0x0
dma resource write: 0x140c0b48, 0x0
dma resource write: 0x140c0b4c, 0x0
dma resource write: 0x140c0b50, 0x0
dma resource write: 0x140c0b54, 0x0
dma resource write: 0x140c0b60, 0x0
dma resource write: 0x140c0b64, 0x0
dma resource write: 0x140c0b68, 0x0
dma resource write: 0x140c0b6c, 0x0
dma resource write: 0x140c0b70, 0x0
dma resource write: 0x140c0b74, 0x0
dma resource write: 0x140c0b80, 0x0
dma resource write: 0x140c0b84, 0x0
dma resource write: 0x140c0b88, 0x0
dma resource write: 0x140c0b8c, 0x0
dma resource write: 0x140c0b90, 0x0
dma resource write: 0x140c0b94, 0x0
dma resource write: 0x140c0ba0, 0x0
dma resource write: 0x140c0ba4, 0x0
dma resource write: 0x140c0ba8, 0x0
dma resource write: 0x140c0bac, 0x0
dma resource write: 0x140c0bb0, 0x0
dma resource write: 0x140c0bb4, 0x0
dma resource write: 0x140c0bc0, 0x0
dma resource write: 0x140c0bc4, 0x0
dma resource write: 0x140c0bc8, 0x0
dma resource write: 0x140c0bcc, 0x0
dma resource write: 0x140c0bd0, 0x0
dma resource write: 0x140c0bd4, 0x0
dma resource write: 0x140c0be0, 0x0
dma resource write: 0x140c0be4, 0x0
dma resource write: 0x140c0be8, 0x0
dma resource write: 0x140c0bec, 0x0
dma resource write: 0x140c0bf0, 0x0
dma resource write: 0x140c0bf4, 0x0
dma resource write: 0x140c0c00, 0x0
dma resource write: 0x140c0c04, 0x0
dma resource write: 0x140c0c08, 0x0
dma resource write: 0x140c0c0c, 0x0
dma resource write: 0x140c0c10, 0x0
dma resource write: 0x140c0c14, 0x0
dma resource write: 0x140c0c20, 0x0
dma resource write: 0x140c0c24, 0x0
dma resource write: 0x140c0c28, 0x0
dma resource write: 0x140c0c2c, 0x0
dma resource write: 0x140c0c30, 0x0
dma resource write: 0x140c0c34, 0x0
dma resource pre: 0x140bdf80, 0x0, 0x400 0x140c0840
reg info write: 0xc5400800, 0x140c0840
reg info write: 0xc5400804, 0x00000000
reg info write: 0xc5400818, 0x00000400
reg info write: 0xc540081c, 0x00080006
