Voltage,Board,CORE,1020,1080,1140,1200,1260,1320,1380,1440,1500,1560,1608,1680,1728,1800,1848,1920,1968,2040,2088,2160,2208,2280,2328,2400,2448,2520,2568
1000,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,5,3,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,5,4,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,5,5,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,5,6,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,,
720,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,5,7,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
